Name,Price,Rating,Distance from the centre,Free Cancellation,Prepayment needed,Breakfast included
Oakwood Residence Saigon,"VND 27,359,995",8.9,4.6 km from centre,No,Yes,No
Oakwood Hotel & Apartments Saigon,"VND 13,778,100",8.6,4.2 km from centre,No,Yes,No
The Spring Hotel,"VND 10,205,292",8.4,1 km from centre,Yes,No,No
Huong Sen Annex Hotel,"VND 11,359,278",8.7,0.9 km from centre,No,Yes,Yes
Northern Charm Hotel,"VND 32,092,305",8.2,1.3 km from centre,Yes,Yes,Yes
Babylon Garden Serviced Apartment,"VND 6,210,000",9.4,2.1 km from centre,Yes,No,No
Landmark 81 Skyscrape Luxury Romantic,"VND 11,583,000",8.2,3.5 km from centre,Yes,No,No
Việt Life Hotel & Apartment - Free conference & cinema room,"VND 5,733,000",9.2,4.4 km from centre,Yes,No,No
DHTS Business Hotel & Apartment,"VND 13,839,705",9.2,3.3 km from centre,No,Yes,No
Nexus House Nguyễn Bỉnh Khiêm,"VND 9,568,000",8.7,2.2 km from centre,Yes,Yes,No
Zazz Urban Ho Chi Minh,"VND 14,082,352",8.6,3 km from centre,Yes,Yes,No
Hotel Nikko Saigon,"VND 37,278,677",9.1,1.9 km from centre,No,Yes,No
THE METROPOLE Apartment Complex OPERA-GALLERIA-CREST,"VND 18,160,000",9.7,1.9 km from centre,Yes,No,No
Elios Hotel,"VND 10,195,200",8.1,0.7 km from centre,Yes,Yes,Yes
Asian Ruby Boutique Hotel Bùi Thị Xuân,"VND 4,770,000",8.0,0.9 km from centre,Yes,No,No
Green Airport Hotel,"VND 5,400,000",8.1,5.6 km from centre,Yes,No,No
Silverland Min Hotel,"VND 13,803,072",8.4,0.9 km from centre,Yes,Yes,No
GALANG HOTEL,"VND 7,310,250",7.7,2.4 km from centre,Yes,No,No
Winsuites Saigon Hotel,"VND 19,980,000",8.3,150 m from centre,Yes,Yes,Yes
Salute Saigon Hotel and Spa,"VND 13,010,270",9.3,400 m from centre,Yes,No,No
Garden View Court Suites Ho Chi Minh City,"VND 19,755,915",8.9,450 m from centre,No,Yes,Yes
Royal Hotel Saigon,"VND 18,497,375",8.4,0.6 km from centre,Yes,No,Yes
Sunrisehome,"VND 5,391,000",8.9,2.4 km from centre,Yes,No,No
Lotus Laverne Hotel,"VND 4,637,197",7.6,3.8 km from centre,Yes,No,No
The Hammock Hotel Fine Arts Museum,"VND 16,070,400",8.8,300 m from centre,No,Yes,Yes
MEANDER Saigon,"VND 15,295,000",9.2,1.4 km from centre,Yes,No,No
Belvilla Comfort Stays Near Bui Vien Walking Street,"VND 8,279,640",9.5,1.1 km from centre,Yes,Yes,No
Mia Saigon – Luxury Boutique Hotel,"VND 57,043,800",9.4,7.2 km from centre,No,Yes,Yes
Novotel Living Saigon South,"VND 19,770,000",8.1,5.4 km from centre,No,Yes,No
Vien Dong Hotel - Near Bui Vien Walking Street,"VND 9,698,002",8.3,0.8 km from centre,Yes,Yes,Yes
Saigon Hotel,"VND 16,552,350",8.3,0.8 km from centre,Yes,Yes,Yes
Vilion Boutique Hotel Ben Thanh,"VND 8,100,000",7.5,300 m from centre,Yes,No,No
Bình Minh Hotel HCM,"VND 3,583,940",7.1,5.3 km from centre,Yes,No,No
Centana Ben Thanh Hotel,"VND 5,040,000",6.3,500 m from centre,Yes,No,No
The Royal LandPark - Phu My Hung,"VND 8,368,920",7.6,4.6 km from centre,No,Yes,No
Đô Thành Residence,"VND 17,204,400",7.9,1.8 km from centre,Yes,Yes,Yes
Rang Dong Hotel,"VND 8,371,710",7.8,0.7 km from centre,Yes,No,No
Liberty Hotel Saigon Parkview,"VND 8,555,508",7.8,0.6 km from centre,Yes,Yes,No
HOSTIE SAIGON [WANDERLUST Home],"VND 5,040,000",8.5,1.6 km from centre,Yes,No,No
PHÚ GIA BÙI VIỆN HOTEl,"VND 4,600,000",7.2,0.5 km from centre,Yes,No,No
Sam Royal Apartment,"VND 12,240,000",7.4,400 m from centre,Yes,No,Yes
Somerset Vista Ho Chi Minh City,"VND 22,963,500",8.9,6.9 km from centre,No,Yes,No
Rustique Maison,"VND 7,361,442",8.8,2.3 km from centre,No,Yes,No
City Backpackers Hostel,"VND 6,750,000",8.7,0.6 km from centre,Yes,Yes,No
Sen Sai Gon Hotel - Ben Thanh Market,"VND 4,918,054",5.1,0.5 km from centre,Yes,No,No
Collection O Sunshine Garden Hotel - Near SECC,"VND 15,356,587",7.0,6 km from centre,No,Yes,No
Chao Nest - Saigon Vinhomes Central Apartment,"VND 10,912,500",9.8,3.5 km from centre,Yes,No,No
Saigon Hub Hostel,"VND 3,997,125",6.8,0.8 km from centre,Yes,Yes,No
Mai House Saigon Hotel,"VND 35,884,143",9.3,1.4 km from centre,No,Yes,No
A25 Hotel - 29 Lê Thị Hồng Gấm,"VND 10,867,340",7.9,350 m from centre,Yes,No,Yes
A In Hotel Atistar,"VND 6,516,000",9.0,6.7 km from centre,Yes,No,No
Solana Garden Hotel,"VND 5,493,660",8.8,7.3 km from centre,Yes,No,No
Thien Ha Hotel & Apartment,"VND 5,001,750",7.7,5.2 km from centre,No,Yes,No
Paradise Saigon Boutique Hotel & Spa,"VND 17,600,000",8.2,350 m from centre,Yes,Yes,Yes
Yoyo Airport Saigon Hotel,"VND 3,915,000",7.6,5.2 km from centre,Yes,No,No
Nouveau Happy Inn - Bến Thành,"VND 5,791,800",7.7,0.8 km from centre,Yes,No,No
Teddy Apartment at Sky Center Luxury,"VND 6,750,000",8.0,5.2 km from centre,No,Yes,No
Suzu Saigon - A Boutique Hotel,"VND 20,520,000",9.0,1.4 km from centre,Yes,Yes,No
Sumi Hotel Gò Vấp,"VND 3,745,000",8.3,9 km from centre,Yes,No,No
"Saigon Cozy Home "" At BuiVien Walking Street ""","VND 6,583,500",8.6,0.7 km from centre,Yes,No,Yes
Lotus Saigon Hotel,"VND 12,397,500",7.5,1.7 km from centre,No,Yes,Yes
Vĩnh Hội Apartment D4,"VND 15,637,950",10,1.8 km from centre,Yes,No,No
Alpina Regal Hotel,"VND 6,593,400",8.2,200 m from centre,Yes,No,No
YHD Homestay Bui Vien,"VND 3,237,600",6.5,1 km from centre,Yes,No,No
Hoai Pho Hotel,"VND 4,500,000",8.6,0.6 km from centre,Yes,No,No
Saigon Pink Hotel,"VND 7,219,800",7.4,0.6 km from centre,Yes,No,No
The Luxury MAYS Hotel,"VND 12,352,500",8.3,200 m from centre,Yes,No,No
Collection O Madam Cuc Hotel,"VND 11,747,295",7.8,1.1 km from centre,No,Yes,No
Amanaki Thao Dien,"VND 36,722,700",9.2,5.3 km from centre,Yes,No,No
La Maison De Lynn - The Art of Relaxation,"VND 5,355,504",9.0,2.1 km from centre,Yes,No,No
Tuyet Nhi Sai Gon Hotel,"VND 4,950,000",8.3,2.2 km from centre,Yes,No,No
Arista,"VND 7,764,000",8.3,6.3 km from centre,Yes,No,No
Ananas Family Hotel,"VND 8,910,000",8.1,4 km from centre,Yes,No,No
Language Exchange Hotel 3,"VND 3,070,400",7.0,1.6 km from centre,Yes,No,No
HANZ Vivianne Boutique Hotel,"VND 7,964,336",None,0.8 km from centre,Yes,Yes,No
Aladdin Hotel,"VND 4,095,000",6.9,3.6 km from centre,Yes,No,No
A&EM Phan Boi Chau,"VND 12,152,250",7.4,200 m from centre,Yes,No,Yes
Masteri Thao Dien Riverside Apartment,"VND 17,199,000",8.1,5.6 km from centre,Yes,No,No
Kin Hotel Thai Van Lung,"VND 28,397,875",9.0,1.1 km from centre,No,Yes,Yes
My Hotel,"VND 5,884,893",8.4,0.8 km from centre,No,Yes,No
Golden Sun Hotel Apartments 2,"VND 4,544,100",7.1,4.5 km from centre,Yes,No,No
Hoang Ha Boutique Hotel,"VND 6,750,000",8.3,4 km from centre,No,Yes,Yes
Landmark Urban Oasis Residences,"VND 10,808,160",8.6,3.6 km from centre,Yes,No,No
D1 Mension - Zenity Luxury Apartment - Rooftop Pool - Saigon Centre,"VND 19,278,000",7.9,1.3 km from centre,Yes,Yes,No
The Odys Boutique Hotel,"VND 17,625,600",8.5,300 m from centre,Yes,Yes,No
City By Night Ben Thanh Apartments,"VND 21,186,000",8.4,300 m from centre,Yes,No,No
Vika Homestay,"VND 6,030,000",8.7,1.6 km from centre,Yes,No,No
Yen Nam Hotel Nguyen Trong Tuyen,"VND 4,662,000",7.7,3.8 km from centre,Yes,No,No
The Art - Tina Hotel and Apartments,"VND 5,058,385",8.3,3.6 km from centre,No,Yes,No
Spring House Saigon central park,"VND 5,649,750",7.4,0.8 km from centre,Yes,No,No
Bong Sen Hotel Saigon,"VND 14,539,500",7.8,0.7 km from centre,Yes,Yes,Yes
Eden Star Saigon Hotel,"VND 24,199,560",8.6,1 km from centre,Yes,Yes,Yes
Nexus House Cây Điệp,"VND 9,794,000",8.8,1.9 km from centre,Yes,No,No
Huy Hoang 1 Hotel,"VND 2,997,000",7.1,6.9 km from centre,Yes,No,No
Liberty 2 Hotel,"VND 10,939,500",8.2,450 m from centre,No,Yes,Yes
Aurora Western Village,"VND 12,817,440",8.3,5.3 km from centre,Yes,No,No
LeBlanc Saigon,"VND 5,049,000",8.0,1.5 km from centre,Yes,No,No
May Soho Saigon Serviced Apartment,"VND 15,230,487",9.0,1 km from centre,Yes,No,No
Vilion Central Hotel & Spa,"VND 7,182,000",7.3,350 m from centre,Yes,No,No
Cactusland Hotel & Apartment,"VND 7,125,612",8.6,3.8 km from centre,No,Yes,No
Hoang Yen Hotel - Phu My Hung,"VND 4,509,000",8.2,4.3 km from centre,Yes,No,No
Park Hyatt Saigon,"VND 62,370,000",9.1,0.9 km from centre,No,Yes,No
Home Peace Home - District 1,"VND 5,098,650",8.5,1.4 km from centre,Yes,No,No
Green Star Hotel,"VND 5,915,745",7.3,0.9 km from centre,Yes,No,No
Everland The Landmark,"VND 11,092,500",10,3.9 km from centre,Yes,No,No
A25 Hotel - 06 Trương Định,"VND 10,264,498",8.1,0.9 km from centre,Yes,Yes,Yes
Jade Garden - Secret Courtyard in Saigon,"VND 9,702,904",9.2,1.8 km from centre,Yes,Yes,No
VICTORY SECC Hotel,"VND 6,878,115",7.4,5.5 km from centre,Yes,No,No
Yen Minh Resthouse,"VND 4,222,800",9.0,3.4 km from centre,Yes,No,No
Thiên Phát Hotel - SECC,"VND 3,645,000",6.9,4.6 km from centre,Yes,No,No
Louis Hotel - Bui Vien Walking Street,"VND 8,156,700",8.5,0.9 km from centre,Yes,No,No
EROS Hotel - Love Hotel,"VND 5,040,000",7.8,3.3 km from centre,Yes,No,No
Toi's Travel Home Central,"VND 3,612,000",8.1,0.7 km from centre,No,No,Yes
A25 Hotel - 274 Đề Thám,"VND 10,524,162",8.4,0.6 km from centre,Yes,Yes,Yes
The Hammock Hotel Ben Thanh,"VND 14,952,168",8.5,0.7 km from centre,No,Yes,Yes
Celine Living - Central,"VND 17,500,000",9.0,1.4 km from centre,Yes,No,No
Thiên Tài Hotel,"VND 5,400,000",7.3,1.5 km from centre,No,Yes,No
Minh House,"VND 4,050,406",9.2,1.8 km from centre,Yes,No,No
Glenwood City Resort,"VND 13,183,624",7.9,5.6 km from centre,Yes,No,No
A&EM Art Hotel,"VND 16,368,000",7.7,350 m from centre,Yes,No,Yes
THE QUEENDOR BOUTIQUE HOTEL,"VND 7,698,206",8.0,5.9 km from centre,No,Yes,Yes
Ngoi Sao Phuong Nam Hotel,"VND 3,923,500",8.3,11.3 km from centre,Yes,No,No
Galaxy Airport Hotel,"VND 5,872,500",8.1,5.6 km from centre,Yes,No,No
S79 Residences Suite 345 Apartment,"VND 5,720,780",10,2.1 km from centre,Yes,Yes,No
Giang Sơn Hotel江山民宿范五老区酒吧街胡志明市,"VND 5,040,000",7.8,0.9 km from centre,Yes,No,No
Huyen Homestay,"VND 6,706,800",8.5,1.7 km from centre,Yes,No,No
Nu Apartment in The Opera Residence,"VND 22,262,652",10,1.7 km from centre,Yes,No,No
Edoya Hotel Ben Thanh,"VND 18,619,050",7.7,250 m from centre,Yes,No,Yes
Hera Luxury Hotel,"VND 11,137,500",7.8,5.5 km from centre,Yes,Yes,Yes
Sunflower Luxury Hotel,"VND 25,585,875",7.6,1.1 km from centre,Yes,Yes,Yes
FF Homestay Evy House,"VND 6,196,500",8.3,450 m from centre,Yes,No,No
La Sonata Hotel,"VND 7,119,090",7.9,1 km from centre,No,Yes,Yes
The Lumiere near Tan Son Nhat Airport,"VND 4,354,793",6.9,7.2 km from centre,No,Yes,No
The One Premium Hotel,"VND 7,260,000",7.4,250 m from centre,Yes,No,No
Lumiere Luxury Condotel Suites,"VND 25,925,000",8.3,5.5 km from centre,No,Yes,No
Gia Vien Hotel,"VND 3,969,000",7.5,0.6 km from centre,Yes,No,No
Sao Nam Hotel - Bui Vien Walking Street,"VND 4,639,500",7.3,0.5 km from centre,Yes,No,No
Zenity Luxury Apartment - Jacuzzi - Saigon Centre,"VND 17,895,492",9.6,2.1 km from centre,Yes,No,No
An Lam Retreats Saigon River,"VND 71,805,336",9.2,11 km from centre,No,Yes,Yes
Valentine Boutique hotel - 29 Bui Vien street,"VND 5,878,125",7.0,0.7 km from centre,Yes,No,No
Hoa De Nhat Hotel- Sân Bay Tân Sơn Nhất,"VND 4,405,500",7.3,5.1 km from centre,Yes,No,Yes
Happy Land Hotel,"VND 5,686,200",7.0,300 m from centre,Yes,No,No
Eden Hotel,"VND 7,200,000",7.7,9.9 km from centre,Yes,No,No
Kim Hotel,"VND 5,544,000",9.0,0.6 km from centre,Yes,No,No
Avanti Boutique Hotel,"VND 10,404,000",7.1,250 m from centre,Yes,No,Yes
"SaiGon CoZy Hotel ""241 Pham Ngu Lao Street''","VND 7,020,000",8.6,0.8 km from centre,Yes,No,Yes
MIN' Apartment - Rivergate Residence Downtown Bui Vien - FREE POOL,"VND 10,098,000",8.9,1 km from centre,Yes,No,No
Tan Hoang Long Hotel,"VND 8,820,000",8.1,0.7 km from centre,Yes,No,No
Queen Ann Hotel,"VND 16,380,000",8.2,1 km from centre,Yes,No,No
Pearl Central Hotel- Near Nguyen Hue street,"VND 8,079,750",7.9,0.9 km from centre,No,Yes,Yes
YoKo Airport Saigon Hotel,"VND 4,275,000",7.3,5.6 km from centre,Yes,No,No
"Home, Cosy&Luxury Apartment - 5mins to Airport, Free Pool&Gym, Airport Pick up Service","VND 10,687,500",8.2,5.2 km from centre,No,Yes,No
"Luxury Gold Apartment 86 : D1- Mension , Rooftop Pool - District 1","VND 19,026,900",8.1,1.4 km from centre,Yes,Yes,No
Nu Hotel - 18 Bui Vien Walkstreet,"VND 5,336,100",7.6,0.5 km from centre,Yes,No,No
Spacious Central Apartments for Group and Family - Sailing Tower,"VND 32,490,000",8.8,1 km from centre,Yes,Yes,No
Jomo,"VND 13,950,000",8.6,2.4 km from centre,Yes,No,No
Đại Nam SG Hotel,"VND 7,312,800",7.7,1 km from centre,Yes,Yes,No
Giang Linh Hotel,"VND 4,649,400",7.2,450 m from centre,No,Yes,No
My Anh 120 Central Saigon Hotel Ben Thanh Market,"VND 4,374,000",6.6,0.7 km from centre,Yes,Yes,No
Panda Garden Hotel - Apartment,"VND 16,156,800",9.7,6.1 km from centre,Yes,No,No
Lancaster Ho Chi Minh Serviced Apartment Official,"VND 14,912,910",7.8,1.2 km from centre,Yes,Yes,No
Metropole VIP Luxury Apartment,"VND 18,933,750",10,1.7 km from centre,Yes,No,No
GRAD Crowne Hotel Bui Vien,"VND 3,858,955",6.9,0.8 km from centre,Yes,No,No
Tuan Long Hotel,"VND 3,530,800",8.0,4.6 km from centre,No,Yes,No
HANZ Premium Friday Saigon Hotel,"VND 6,566,411",None,2.9 km from centre,Yes,Yes,No
Golden Sun Apartment & Hotel,"VND 11,304,919",9.4,5.4 km from centre,Yes,Yes,No
SoLex Hotel,"VND 9,845,550",8.1,6.9 km from centre,No,Yes,Yes
Usagiyah Hotel & Guest House,"VND 7,920,000",9.3,1.5 km from centre,Yes,No,Yes
Aiden Saigon Hotel,"VND 10,136,520",8.2,8.3 km from centre,No,Yes,Yes
MK Studio - Liên Phuong - District 9,"VND 4,215,150",8.6,10.8 km from centre,No,Yes,No
El Ocaso Boutique Hotel,"VND 7,217,100",9.6,4.6 km from centre,Yes,No,No
Vintage Park View Hotel & Spa - Hoang Phi,"VND 7,182,000",7.0,0.9 km from centre,Yes,No,No
Kin Hotel Đông Du,"VND 15,038,578",8.6,0.9 km from centre,No,Yes,Yes
Cactusland Hotel Tan Binh,"VND 5,073,000",8.8,6.7 km from centre,No,Yes,No
Airport Saigon Hotel - Gần ẩm thực đêm chợ Phạm Văn Hai,"VND 7,672,500",7.9,4.7 km from centre,Yes,Yes,No
K&T Hotel - Sân Bay Tân Sơn Nhất,"VND 4,500,000",7.9,4.4 km from centre,Yes,No,No
Dinh Phat Hotel,"VND 4,950,000",7.0,300 m from centre,Yes,No,No
Yu Stay Lux and Cozy 2Bedrs in Soho Residence near Bui Vien walking street,"VND 13,870,000",8.6,1 km from centre,Yes,No,No
A25 Hotel - 35 Mạc Thị Bưởi,"VND 10,689,184",8.2,0.8 km from centre,Yes,Yes,Yes
Sunny Guesthouse,"VND 6,480,000",8.7,0.7 km from centre,Yes,Yes,No
Lotus Hotel Nguyễn Phi Khanh Q1,"VND 5,632,740",7.5,2.3 km from centre,No,Yes,No
Sky Gem Hotel - Ben Thanh,"VND 13,360,001",7.7,400 m from centre,Yes,Yes,Yes
The Suite Landmark Saigon Riverside Apartment,"VND 22,785,300",7.5,3.6 km from centre,Yes,No,No
MICASA HOTEL,"VND 6,250,000",7.3,3.9 km from centre,Yes,No,No
GK Central Hotel,"VND 13,539,825",8.2,300 m from centre,Yes,Yes,No
Văn Hoa Hotel,"VND 5,850,000",8.4,4.3 km from centre,Yes,No,No
A25 Hotel - 277 Lê Thánh Tôn,"VND 11,489,956",8.2,300 m from centre,Yes,No,Yes
Mai Phương - RUBY SAIGON HOTEL,"VND 3,672,270",8.2,6.3 km from centre,Yes,No,No
Woody House Boutique,"VND 9,900,000",8.7,1.4 km from centre,Yes,Yes,No
Sunrise Central Hotel,"VND 8,401,414",7.2,300 m from centre,Yes,Yes,No
Quỳnh Hương Hotel Phú Nhuận,"VND 5,004,800",6.6,3.7 km from centre,Yes,No,No
Leaf Signature Hotel - Lá Group,"VND 7,803,000",8.4,1.7 km from centre,Yes,Yes,No
Ngoc Linh Hotel,"VND 3,609,000",7.2,5.3 km from centre,Yes,No,No
Nanwa House,"VND 5,355,000",8.8,1.3 km from centre,Yes,No,No
