Name,Price,Rating,Distance from the centre,Free Cancellation,Prepayment needed,Breakfast included
Vinhomes Residences Luxury Apartment,"VND 14,107,500",7.6,2.6 km from centre,No,Yes,No
Le Méridien Saigon,"VND 36,800,000",8.5,1.3 km from centre,Yes,No,No
Soho Premium Suites - Ben Thanh Market Area,"VND 10,800,000",9.2,0.5 km from centre,Yes,No,No
Saigon Domaine Luxury Residences,"VND 24,875,226",8.2,7.4 km from centre,Yes,Yes,Yes
Mya's Apartment,"VND 5,062,493",8.3,3.4 km from centre,Yes,No,No
Penthouse 86 - Pool Private - In the HEART HCM,"VND 41,040,000",7.0,2.7 km from centre,Yes,Yes,No
Bin Bin Hotel 12 Near Sala Residence,"VND 6,174,000",9.0,6 km from centre,Yes,No,No
Anh Dao Hotel,"VND 5,054,700",7.7,9.5 km from centre,Yes,Yes,No
The Botanica - Apartment near Airport - Very Nice,"VND 12,600,000",8.4,5.1 km from centre,Yes,No,No
Aloha House Apartment,"VND 6,154,772",8.8,2.2 km from centre,Yes,No,No
Cole Hotel & Apartment,"VND 4,388,634",8.0,9 km from centre,Yes,No,No
Aesthetic homes,"VND 5,500,000",7.9,1.6 km from centre,No,Yes,No
Guesthouse Minh Thu,"VND 3,150,000",8.4,4.3 km from centre,Yes,No,No
Vinhomes Landmark APT Renovation 2025 by BeVista,"VND 18,012,500",6.4,3.5 km from centre,Yes,Yes,No
S79 Residences SEN,"VND 3,818,888",3.0,0.5 km from centre,Yes,Yes,No
Michelle Hotel,"VND 4,761,000",8.3,3.7 km from centre,Yes,Yes,No
Sherwood Suites,"VND 24,896,625",9.4,1.4 km from centre,No,Yes,No
DDA Hotel District 1- Bùi Viện-Đề Thám Walking Street,"VND 4,273,335",6.0,0.6 km from centre,Yes,No,No
NEW LAND Apartment 2 - Phu My Hung,"VND 4,260,060",8.0,4.6 km from centre,Yes,No,No
Đông Như 2,"VND 4,860,000",8.6,8.4 km from centre,Yes,No,No
M Village Living Hồ Biểu Chánh,"VND 7,806,240",9.0,3.4 km from centre,No,Yes,No
Truong Giang Hotel,"VND 3,150,000",7.4,4.6 km from centre,Yes,No,No
Destiny Apartment,"VND 8,100,000",9.0,4.4 km from centre,No,Yes,No
The Tresor - 1 and 2 bedrooms Apt - near Ben Thanh market,"VND 10,100,000",8.0,0.8 km from centre,Yes,No,No
Lunaria Maison Local Side,"VND 3,408,779",8.2,3.3 km from centre,Yes,No,No
Saigon Home Apartment - Infinity Pool,"VND 9,618,750",9.5,1 km from centre,Yes,No,No
Rivesride house Quận Phú Nhuận 3,"VND 4,743,000",8.2,4 km from centre,Yes,No,No
The landmark Luxury Vinhomes Apartments - The buildings nearby landmark 81 central,"VND 13,500,001",9.2,3.5 km from centre,Yes,No,No
Gemini Saigon CENTER - New & Quiet near Bui Vien Walking Street,"VND 5,539,450",7.2,0.6 km from centre,No,Yes,No
Thao Dien Coliving 2,"VND 4,275,000",9.4,5.2 km from centre,Yes,No,No
T-Ritz Saigon Hotel & Apartment,"VND 19,391,400",8.8,1.5 km from centre,Yes,Yes,No
Siris Niko Residence - Self Checkin,"VND 3,416,000",8.1,5 km from centre,Yes,No,No
GRAD Ly Ly Hotel 2,"VND 10,398,384",10,10 km from centre,Yes,Yes,No
Orchid Boutique Hotel & Apartment,"VND 15,750,000",8.0,4.6 km from centre,Yes,No,Yes
Lalahouse Masteri Thao Dien view Landmark 3PN,"VND 13,859,991",8.4,6 km from centre,Yes,No,No
ACE Hotel - Bến Thành,"VND 4,714,329",6.9,0.9 km from centre,Yes,Yes,No
Lunaria Maison - Riverside,"VND 12,950,685",8.3,1.3 km from centre,Yes,No,No
Meraki Hotel,"VND 4,444,443",6.9,0.9 km from centre,Yes,Yes,No
Cho thuê Căn hộ full nội thất khu Diamond Alnata,"VND 16,200,000",10,9.5 km from centre,Yes,No,No
"SkyView Apartment - Bui Vien Street, Downtown & SG's HEART","VND 11,704,500",8.8,1 km from centre,Yes,No,No
Long Home 3,"VND 3,600,000",6.7,1.6 km from centre,Yes,Yes,No
Heyday apartment,"VND 5,497,693",9.6,4.6 km from centre,No,Yes,No
Somerset Chancellor Court Ho Chi Minh City,"VND 20,667,150",8.7,1.4 km from centre,No,Yes,No
"ALOHA SAIGON PREMIUM HOSTEL by Local Travel Experts - Newly opened, Less-touristy location, Spacious rooms, Glass shower bathroom, Free breakfast & Walking Tour","VND 13,770,000",9.4,2.9 km from centre,Yes,Yes,Yes
Somerset Feliz Ho Chi Minh City,"VND 16,839,900",9.4,6.3 km from centre,No,Yes,No
Kin Hotel Ly Tu Trong,"VND 14,934,245",9.5,300 m from centre,No,Yes,Yes
SCAT Hotel- New World Bến Thành,"VND 3,884,850",6.0,0.7 km from centre,Yes,No,No
"Vinpearl Landmark 81, Autograph Collection","VND 45,650,000",9.2,3.6 km from centre,Yes,No,No
Khách Sạn Angkor 2 Gò Vấp,"VND 3,402,000",7.7,8.4 km from centre,No,Yes,No
M Village Living Trần Não,"VND 9,828,000",9.2,4 km from centre,Yes,No,No
Huy Hoàng Hotel,"VND 2,520,000",5.5,4.5 km from centre,Yes,No,No
Sam's House,"VND 3,420,000",9.2,6.3 km from centre,Yes,No,No
Vinhomes Landmark 81 - Christine Home,"VND 11,070,000",8.8,3.5 km from centre,No,Yes,No
JW Marriott Hotel and Suites Saigon,"VND 43,500,000",8.6,1.1 km from centre,Yes,No,No
Pony Bliss Haven - Sư Vạn Hạnh,"VND 6,300,000",9.3,3.3 km from centre,Yes,No,No
Căn Hộ Cho Thuê Ở Vinhome Central Park,"VND 11,115,000",9.8,3.5 km from centre,Yes,No,No
M Village Living Cửu Long,"VND 7,445,880",8.3,5.5 km from centre,No,Yes,No
Central of Vinhomes Area,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
"Ha Đo Centrosa Building , Ba Thang Hai street, distrist 10","VND 12,150,000",8.8,3.1 km from centre,Yes,Yes,No
Khách Sạn Minh Anh Gò Vấp,"VND 2,470,000",8.4,9.1 km from centre,Yes,No,No
HOTEL le JARDIN SECRET saigon,"VND 12,330,000",8.5,1.3 km from centre,Yes,No,No
Hoang Yen Nhi Hotel,"VND 4,559,906",5.3,2.6 km from centre,No,Yes,No
Vinhomes Residences Luxury Suite,"VND 13,688,640",8.4,3.6 km from centre,Yes,No,No
Sweet Home LGBTQ,"VND 3,534,000",9.4,3.2 km from centre,Yes,No,No
Dlux Bạch Đằng,"VND 3,600,000",5.3,5.6 km from centre,Yes,No,No
The RIO Ha Do Home City,"VND 12,960,000",9.8,2.3 km from centre,Yes,No,No
9Trip Stay in Sunrise Riverside,"VND 9,400,001",9.5,5.6 km from centre,Yes,No,No
Soul Station - Studio Hotel,"VND 6,019,200",9.2,5.5 km from centre,Yes,No,No
Amazing 2 BR Masteri Thao Dien,"VND 11,371,000",10,5.7 km from centre,No,No,No
Glenwood Suites,"VND 9,177,787",8.4,5.4 km from centre,Yes,No,No
The Luxury,"VND 4,455,000",9.3,9.7 km from centre,Yes,No,No
Lumina Home,"VND 4,943,090",9.7,4 km from centre,Yes,No,No
Nina Homes Phu My Hung,"VND 10,044,000",9.1,4.6 km from centre,Yes,Yes,No
McGallery Art - Lucky Residence Suite's & Apartments,"VND 13,365,000",9.1,1.7 km from centre,Yes,No,No
Luxury Vinhomes Central Park - Thamin Residence,"VND 11,235,150",9.1,3.7 km from centre,Yes,No,No
Thạch Đà Motel,"VND 3,576,375",9.1,10.1 km from centre,Yes,No,No
Seven Stars Hotel,"VND 2,835,000",7.2,4.9 km from centre,No,Yes,No
AULE HOSTEl,"VND 5,400,000",7.5,0.6 km from centre,Yes,No,No
Value Hotel,"VND 3,825,000",7.8,5.4 km from centre,Yes,No,No
MHome,"VND 3,832,650",9.6,1.9 km from centre,Yes,No,No
Nguyên Thái,"VND 2,733,750",9.0,14 km from centre,Yes,No,No
Le Vu Hotel,"VND 3,645,000",7.8,0.8 km from centre,Yes,No,No
LUCKY HOTEL LIEN PHUONG,"VND 2,970,000",7.7,10.8 km from centre,Yes,No,No
Goby home in Rivergate Luxury Apartment - near Ben Thanh market,"VND 11,840,000",7.4,0.9 km from centre,Yes,No,No
M Village Hotel Hai Bà Trưng,"VND 13,566,000",9.0,1.7 km from centre,Yes,No,No
"Soho Residence, District 1","VND 10,125,000",5.7,0.9 km from centre,No,Yes,No
Apartment - Near TSN Airport - 2Br 2WC - Luxury,"VND 12,600,000",8.7,5.1 km from centre,Yes,No,No
J&K Hotel,"VND 3,460,000",6.9,1 km from centre,Yes,No,No
Nhật Vân 1,"VND 2,857,275",5.0,2.9 km from centre,No,Yes,No
9 Hostel and Suites,"VND 5,132,160",8.1,0.5 km from centre,Yes,No,No
Anh's House,"VND 3,915,000",8.4,8.8 km from centre,Yes,Yes,No
HÙNG MIAMI HOTEl - 3 SAO,"VND 3,960,000",7.5,6.4 km from centre,Yes,Yes,No
Ahu Hotel & Apartment,"VND 3,481,200",8.1,1 km from centre,Yes,No,No
Morden Apartment 2BR- Masteri Thao Dien,"VND 9,424,000",8.0,5.8 km from centre,Yes,No,No
A25 Hotel - 255 Lê Thánh Tôn,"VND 10,435,792",7.4,250 m from centre,Yes,Yes,Yes
Avanti Hotel,"VND 12,213,000",7.8,200 m from centre,Yes,No,Yes
The Eros Hotel,"VND 2,244,000",7.0,10.1 km from centre,Yes,No,No
Kha Thy Hotel,"VND 7,020,000",6.2,7.8 km from centre,Yes,No,No
Habista Serviced Apartment - 45TL,"VND 5,130,000",8.7,5.4 km from centre,No,Yes,No
Ly Ly Hotel,"VND 6,885,000",7.4,9 km from centre,Yes,No,No
Dlux BÙI VĂN THÊM,"VND 3,150,000",5.4,4.6 km from centre,Yes,No,No
Dai Nam Boutique Hotel,"VND 12,096,000",8.0,400 m from centre,Yes,Yes,No
khách sạn Vạn Thành Đạt,"VND 2,250,000",7.4,14.1 km from centre,Yes,No,No
Homestay Thule,"VND 4,009,500",9.3,7.9 km from centre,Yes,Yes,No
Rubi Home - Soho Apartment & Hotel District 1,"VND 13,770,000",10,1 km from centre,Yes,No,No
IAM SAIGON Homestay,"VND 8,917,682",9.0,4.2 km from centre,Yes,No,Yes
Cactusland Homestay - Tran Hung Dao,"VND 4,220,682",8.8,1.7 km from centre,Yes,No,No
Venice 1 Hotel,"VND 3,571,064",7.5,3.9 km from centre,No,Yes,No
Bear's House - The Riverside,"VND 5,475,750",8.8,2.5 km from centre,Yes,No,No
Đức Phúc Hotel,"VND 2,844,000",7.7,10.1 km from centre,Yes,No,No
Rivergate Residence PROMO,"VND 6,393,600",4.6,1 km from centre,Yes,No,No
Masteri Thao Dien,"VND 9,944,991",8.5,5.8 km from centre,Yes,No,No
Huyen Apartment,"VND 5,850,000",8.7,3.3 km from centre,Yes,No,No
Soho residence studio apartment,"VND 8,403,178",8.7,1 km from centre,Yes,No,No
2Br Golden View Sunrise Cityview Hana's Apart D7,"VND 11,700,000",8.8,2.9 km from centre,Yes,No,No
Landmark 81- Homes by Christine,"VND 14,630,000",8.8,2.6 km from centre,No,Yes,No
Homestay Quận 1 Homestay ngay phố Bùi Viện,"VND 18,168,750",8.2,0.8 km from centre,Yes,No,No
Nako Hotel,"VND 5,780,880",7.7,11.1 km from centre,Yes,Yes,No
"Cozy studio at Hai Ba Trung st., Dist 3 near Tan Dinh market","VND 3,510,000",8.8,2.6 km from centre,Yes,No,No
Doha 2 Hotel Saigon Airport,"VND 9,000,000",5.8,5.8 km from centre,No,No,No
CouCou Homestead II - Mini Hotel District 1,"VND 5,793,804",8.3,0.7 km from centre,Yes,No,No
Bin Bin Hotel 2 - Near Him Lam D7,"VND 6,360,000",8.1,3.4 km from centre,Yes,No,No
Thanh Bình 2 Hotel,"VND 2,790,000",7.7,9 km from centre,Yes,No,No
Marina Home Saigon River,"VND 6,075,000",10,8.5 km from centre,Yes,No,No
Level Hotel Sai Gon - by BAY LUXURY,"VND 10,563,300",9.1,1.1 km from centre,No,Yes,No
Allen luxury apartment - Vinhomes central park,"VND 13,754,000",8.7,3.6 km from centre,Yes,Yes,No
Khách Sạn Lộc Phát,"VND 3,231,900",7.4,7.2 km from centre,No,Yes,No
The Moon 2 Hotel,"VND 12,150,000",8.0,9.6 km from centre,Yes,No,No
Sunrise City - 1 Bed Room - Full Furniture - City View,"VND 14,040,000",10,3.2 km from centre,Yes,Yes,No
"BIG ROOM next to Bui Vien , Ben Thanh market","VND 22,500,000",8.5,1 km from centre,Yes,No,No
Homestay saigon Airport,"VND 5,850,000",7.0,5.2 km from centre,Yes,No,No
Elysian Home,"VND 5,443,200",9.7,1.7 km from centre,Yes,No,No
Silverland Yen Hotel,"VND 20,368,320",8.9,250 m from centre,Yes,Yes,No
M Village Living Kỳ Đồng,"VND 8,804,640",9.2,2.2 km from centre,Yes,No,No
King Penhouse Duplex-3BR,"VND 27,540,000",10,6.5 km from centre,Yes,No,No
Khách sạn Huy Phương,"VND 2,907,000",8.6,17.7 km from centre,No,Yes,No
Trung Bảo Hotel,"VND 2,718,144",7.2,4.9 km from centre,Yes,No,No
Homestay Four P Binh Thanh,"VND 6,395,256",9.5,4.9 km from centre,Yes,Yes,No
Sakura Hotel Thủ Đức,"VND 3,240,450",8.0,9.8 km from centre,Yes,No,No
Bear's House Sư Vạn Hạnh,"VND 6,075,000",8.7,3.4 km from centre,Yes,No,No
Lumiere Riverside Saigon Elegance Suites,"VND 13,413,600",10,6.5 km from centre,Yes,No,No
"101 부이비엔 도보 10분 , 아늑한 주택","VND 3,847,500",None,1.1 km from centre,Yes,Yes,No
An Chi Hotel,"VND 3,348,000",8.9,3.8 km from centre,Yes,No,No
Căn Hộ 2 phòng ngủ Emerald cạnh Siêu Thị AEON mall Tân Phú,"VND 10,530,000",9.0,10.1 km from centre,Yes,No,No
Saigon Garden Homestay,"VND 5,397,840",8.9,13.8 km from centre,Yes,No,No
Sea123,"VND 3,604,500",9.1,1.5 km from centre,Yes,No,No
Cát Anh Hotel,"VND 6,210,000",8.6,8.5 km from centre,Yes,No,No
LEE HOTEL,"VND 9,000,000",7.7,5.3 km from centre,Yes,No,No
Quang Huy Hotel,"VND 4,154,850",8.7,3.1 km from centre,Yes,No,No
Au Lac Legend Hotel,"VND 14,572,350",8.7,1.1 km from centre,Yes,Yes,Yes
Bình Triệu Hotel - Gò Vấp,"VND 3,748,500",8.2,7.6 km from centre,Yes,No,No
Bin Bin Hotel 11 Near Island Diamond,"VND 5,831,000",6.8,5.8 km from centre,Yes,No,No
My Friends Hotel,"VND 4,270,500",7.0,2.4 km from centre,Yes,No,No
Modern Elegance in Central Park,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
Ben Thanh - Luxury Serviced Apartments,"VND 20,700,000",8.3,300 m from centre,Yes,No,No
An's Homestay,"VND 4,018,500",9.3,1.7 km from centre,Yes,No,No
Khách sạn Mỹ Anh,"VND 2,835,000",7.6,3.8 km from centre,Yes,No,No
Winston Hotel Riverside,"VND 3,375,000",7.4,9 km from centre,Yes,Yes,No
Oasis Central - Soho CBD Apartment,"VND 11,907,000",9.4,1 km from centre,Yes,No,No
CÁT ANH HOTEL,"VND 6,210,000",8.1,8.5 km from centre,Yes,No,No
2 Bedrooms At The Sun Avenue In The Center Of District 2 With Overflow Swimming Pool,"VND 12,825,000",8.7,5.4 km from centre,Yes,No,No
The Common Room,"VND 13,365,000",9.5,1 km from centre,Yes,No,No
Sai Gon Airport Hotel,"VND 6,771,600",7.9,5.4 km from centre,Yes,Yes,No
Ha Do Centrosa Apartment District 10,"VND 18,000,000",8.0,2.7 km from centre,Yes,No,No
Luas Cosy Home - The Cosy Chinatown Hideaway,"VND 5,119,200",8.9,4.4 km from centre,Yes,No,No
Vina Home,"VND 4,207,500",7.7,4.8 km from centre,Yes,No,No
"KIN Wander Tân Bình, The Mountain","VND 8,713,800",7.9,6.9 km from centre,Yes,Yes,No
Hạnh Phúc Hotel,"VND 6,885,000",7.9,2.5 km from centre,Yes,No,No
Service Apartment By Me in River Gate building,"VND 10,935,000",9.5,0.9 km from centre,Yes,No,No
"HighClass Suites - Walk-To-Independence Palace, SaiGon's Heart","VND 11,475,000",None,0.9 km from centre,Yes,No,No
Stay With Me Saigon Apartment - Rivergate Building,"VND 11,475,000",10,1 km from centre,Yes,Yes,No
White Lotus - Heritage Hotel,"VND 9,180,000",9.1,2.7 km from centre,Yes,No,Yes
Hello SaiGon Homestay,"VND 5,499,997",9.3,1.9 km from centre,Yes,No,No
Gin House Hotel & Apartment Near Turtle Lake,"VND 14,823,000",7.8,1.9 km from centre,Yes,No,No
Khách Sạn Avatar,"VND 3,159,000",6.5,7.2 km from centre,Yes,No,No
Stunning river view 2BRs apartment at Vinhomes Landmark 81,"VND 12,240,000",10,3.7 km from centre,Yes,No,No
M Village Living Điện Biên Phủ - The Tropic,"VND 11,541,400",8.9,3.4 km from centre,Yes,No,No
Nhật Vân 2,"VND 2,907,000",5.3,2.9 km from centre,Yes,No,No
Tulip Hotel,"VND 2,950,000",7.4,10 km from centre,Yes,No,No
La Opera Saigon Hotel,"VND 14,754,960",8.9,1.4 km from centre,No,Yes,Yes
Bananas Indochine E,"VND 22,185,000",7.7,1.1 km from centre,Yes,No,No
M Village Living Nam Kỳ Khởi Nghĩa,"VND 8,873,280",8.4,1.5 km from centre,No,Yes,No
"HighClass Suites - D1mension & Zenity, Night Sky View and Central","VND 15,500,600",9.3,2.2 km from centre,Yes,No,No
Riverside house phú nhuận 2G,"VND 5,355,000",8.0,4 km from centre,Yes,No,No
Rivergate Apartments Saigon,"VND 7,416,000",10,1 km from centre,Yes,No,No
Yên House 09,"VND 3,420,000",8.0,6.3 km from centre,Yes,No,No
Istars Hotel,"VND 2,539,800",5.7,3.6 km from centre,Yes,Yes,No
NEW LAND Apartment - Phu My Hung,"VND 4,332,000",8.2,6.9 km from centre,Yes,Yes,No
Lumiere riverside-Kiri-serene unit in Thao Dien,"VND 19,350,000",10,6.5 km from centre,Yes,No,No
Vinhome,"VND 4,950,000",9.8,1.6 km from centre,Yes,No,No
Lee Hotel,"VND 3,600,000",7.4,7.4 km from centre,No,Yes,No
HongHome The Cactus Building,"VND 7,020,000",8.8,2.3 km from centre,Yes,No,No
Best Studio Room Near Ben Thanh Market,"VND 4,770,000",8.2,250 m from centre,Yes,No,No
Khu đô thị Vinhomes Grand Park Tp Thủ đức Tp HCM,"VND 8,019,000",None,10.7 km from centre,Yes,No,No
Khách sạn Minh Châu - Điện Biên Phủ,"VND 3,780,000",7.6,2.4 km from centre,Yes,No,No
I Riverside B303 I Compact & Quiet Studio,"VND 2,916,000",9.5,6 km from centre,No,Yes,No
Zeus Living - City Central,"VND 8,316,000",8.1,0.7 km from centre,Yes,Yes,No
SaigonOne Serviced Apartment,"VND 7,110,000",8.7,1.3 km from centre,No,No,No
Saigon Court Serviced Apartment,"VND 24,300,000",9.0,1.2 km from centre,Yes,No,No
Senho Hotel,"VND 3,645,000",6.6,7.7 km from centre,Yes,Yes,No
The Lumiere Riverside Suite,"VND 3,825,000",10,6.5 km from centre,Yes,No,No
Vinhomes Central Park Apartment Landmark Căn hộ DV,"VND 9,720,000",5.8,3.6 km from centre,Yes,No,No
Vinhomes Central Park,"VND 12,879,000",7.9,3.7 km from centre,No,Yes,No
Healing Homestay Bình Thạnh,"VND 2,534,400",10,3 km from centre,Yes,No,No
Riverside House Quận phú nhuận view,"VND 6,502,500",None,4 km from centre,Yes,No,No
Hoa Hồng Hotel Ho Chi Minh City,"VND 6,032,880",7.8,8.2 km from centre,Yes,No,No
HHomes - Luxury 2 Bedroom with Pool GYM BBQ at Masteri Thao Dien,"VND 11,494,500",8.7,5.7 km from centre,Yes,No,No
F-APARTMENT,"VND 6,900,000",9.2,6.1 km from centre,Yes,No,No
La Siesta Premium Saigon Central,"VND 26,025,300",9.3,350 m from centre,Yes,Yes,Yes
Shusimi House & Boutique Near Tan Son Nhat Airport,"VND 4,160,700",6.9,4.4 km from centre,Yes,No,No
SaiGon Apartment,"VND 8,100,000",8.9,1 km from centre,Yes,No,No
Botanica Premier Apartment - near Tan Son Nhat airport - 5 minutes - Nice,"VND 8,019,000",7.0,5.5 km from centre,Yes,No,No
Laregatta Boutique,"VND 10,125,000",7.8,1.4 km from centre,Yes,No,No
Signature by M Village Hai Bà Trưng,"VND 28,617,030",9.1,1 km from centre,Yes,No,No
KEN HOTEL,"VND 5,841,000",8.0,2.2 km from centre,Yes,No,No
HOLO LE THANH TON SAIGON Serviced HomeStay,"VND 6,415,200",8.0,1.4 km from centre,Yes,No,No
SQUIRRELHOME District8,"VND 5,094,495",9.5,4.9 km from centre,Yes,No,No
Bay Hotel Ho Chi Minh,"VND 16,200,000",8.2,1.4 km from centre,Yes,No,No
Timmy's house,"VND 5,215,500",9.8,2.2 km from centre,No,Yes,No
Dancentre Luxury Hotel Near SECC formerly Sunshine Garden Hotel,"VND 6,398,642",6.0,6.8 km from centre,Yes,Yes,No
khách sạn Hồng Tâm,"VND 4,050,000",8.3,9.3 km from centre,No,Yes,No
YOURHOMES SUNRISECITY VIEW Quận 7,"VND 9,900,000",9.3,2.9 km from centre,Yes,No,No
Express by M Village Phạm Ngũ Lão,"VND 8,735,584",7.1,1 km from centre,Yes,No,No
Luala Home,"VND 5,308,875",9.4,2.1 km from centre,Yes,Yes,No
Khách Sạn Hoàng Anh,"VND 2,430,000",7.1,6.8 km from centre,Yes,No,No
S79 My My Hotel,"VND 5,814,004",10,3.2 km from centre,Yes,Yes,No
Tuấn Hưng Hotel HCM,"VND 2,711,160",7.0,4.4 km from centre,Yes,Yes,No
Beauty House,"VND 4,578,035",8.1,0.6 km from centre,Yes,No,No
"Nana House - Trương Quyền, Quận 3","VND 5,265,000",8.0,1.7 km from centre,Yes,Yes,No
QUỲNH HOA HOTEL,"VND 3,825,000",8.0,13.2 km from centre,Yes,No,No
Iris Hotel,"VND 8,100,000",7.8,5.4 km from centre,Yes,No,No
M Village Living 59 Thảo Điền,"VND 8,673,600",9.1,5.5 km from centre,Yes,No,No
Louisa Vinh Hoi Apartment,"VND 17,679,690",9.5,1.8 km from centre,Yes,No,No
Sài Gòn Heat Hotel,"VND 6,263,820",8.2,4.5 km from centre,Yes,No,No
THANH TAI HOTEL 2,"VND 4,235,296",8.1,12 km from centre,Yes,No,No
The IMPERIAL PLACE & WESTERN CAPITAL,"VND 8,213,400",7.5,8.6 km from centre,Yes,No,No
The Umi Hotel,"VND 4,773,600",8.2,0.9 km from centre,No,Yes,No
HANZ Premium Friday Saigon,"VND 6,566,411",None,3 km from centre,Yes,Yes,No
"AGK House - HomeStay - 406 Xô Viết Nghệ Tĩnh, P25, Bình Thạnh, gần ngã 4 Hàng Xanh","VND 4,095,000",8.8,4 km from centre,Yes,No,No
Convinia - Free Pick Up Airport For all Booking,"VND 6,300,000",8.0,1.8 km from centre,Yes,No,No
Khách sạn Anh Thư,"VND 4,008,003",8.1,6 km from centre,Yes,No,No
Best Hotel,"VND 4,500,000",8.8,11.6 km from centre,Yes,No,No
Saigon Tresor Macy,"VND 9,450,000",8.6,0.8 km from centre,Yes,No,No
Sunrise City View sử dụng hồ bơi miễn phí,"VND 9,000,000",8.5,2.9 km from centre,Yes,No,No
Saigon Gao Hostel,"VND 6,019,650",9.8,1.1 km from centre,Yes,No,No
Landmark 81 Vinhomes Apartment Service,"VND 31,635,000",9.2,3.7 km from centre,Yes,No,No
Sheraton Saigon Grand Opera Hotel,"VND 41,700,000",9.0,0.8 km from centre,Yes,No,No
Hoshi Apartment,"VND 8,336,250",9.4,2.3 km from centre,No,Yes,No
Saigon Riverside Apartment,"VND 12,658,500",7.7,3.5 km from centre,Yes,No,No
Cupid Hotel,"VND 6,453,000",8.4,1.2 km from centre,Yes,No,No
Red Sun Airport Saigon Hotel,"VND 3,960,000",7.4,5.2 km from centre,Yes,No,No
Kim Yen Hotel,"VND 4,551,750",7.0,3.6 km from centre,Yes,No,No
"Spacious 4BR apat at Saigon Centre with pool, supermarket, view","VND 36,720,000",8.9,1.5 km from centre,Yes,No,No
"Saigon PeaceHome Apartment with balcony , Tan Dinh ward, Dist 1","VND 8,910,000",9.7,2.7 km from centre,Yes,No,No
Khách Sạn Hoàng Thanh Thủy 4,"VND 2,361,600",7.0,12.6 km from centre,Yes,No,No
Camila Hotel,"VND 8,015,625",7.7,5.3 km from centre,Yes,Yes,No
Landmark Plus - Vinhomes Central Park,"VND 12,474,000",9.4,3.5 km from centre,Yes,No,No
Gia Huy Hotel,"VND 10,800,000",8.4,200 m from centre,Yes,No,No
A25 Hotel - 251 Hai Bà Trưng HCM,"VND 11,134,568",7.8,1.9 km from centre,Yes,Yes,Yes
Karat Home,"VND 4,500,000",8.0,1.5 km from centre,Yes,Yes,No
H79 HOTEL,"VND 2,944,620",5.0,5.3 km from centre,No,Yes,No
Ky Hoa Hotel Ho Chi Minh,"VND 9,234,000",7.7,2.6 km from centre,Yes,No,Yes
Căn hộ tại Phú Nhuận,"VND 8,464,500",8.2,5.5 km from centre,No,Yes,No
HOLO HAM NGHI SAIGON - Serviced HomeStay,"VND 8,325,000",8.6,450 m from centre,Yes,No,No
CBD Luxury Apartment in Rivergate Tower,"VND 16,200,000",10,1 km from centre,No,Yes,No
The Rixx Fabulous Apartment @ D1/jacuzzi/pool/gym,"VND 21,161,250",8.7,1.7 km from centre,Yes,No,No
Thien Phu Logia Hotel,"VND 4,646,070",7.5,10.5 km from centre,Yes,No,No
KHÁCH SẠN HỒNG ĐÀO,"VND 2,992,500",8.3,5 km from centre,Yes,No,No
Sen Hotel,"VND 4,702,500",8.3,8.8 km from centre,No,No,No
Ngo Gia Phat,"VND 3,870,000",7.4,2.2 km from centre,Yes,No,No
Gió Bắc - North Wind Hotel,"VND 4,500,000",7.4,2 km from centre,Yes,No,No
MerPerle Crystal Palace,"VND 40,256,991",8.2,5.7 km from centre,No,Yes,Yes
Stockholm Apartment,"VND 7,141,284",8.5,3.2 km from centre,Yes,Yes,No
the Vinhome Central apartment - The Best Landmark Area,"VND 13,500,001",9.5,3.6 km from centre,Yes,No,No
"Scenic Valley 2 Near SECC, Cresent Mall","VND 13,500,000",None,4.9 km from centre,Yes,No,No
2 beds studio at Rivergate Residences,"VND 6,672,500",6.5,1.1 km from centre,Yes,No,No
Grand Poseidon SG Hotel,"VND 17,595,000",7.8,250 m from centre,Yes,No,No
APARTMENT AIRPORT REPUBLIC - Free Pool Gym and Kid room,"VND 9,180,000",8.9,5.8 km from centre,Yes,No,No
Saigon Hideout New World View,"VND 8,836,695",7.9,0.5 km from centre,Yes,No,No
Metropole Thu Thiem-2 Br Apartment in the center -River view & Luxury,"VND 24,795,000",None,1.8 km from centre,Yes,No,No
Modern District 1 2BR&3BR D1&Zenity apartment OUTDOOR Jacuzzi Pool,"VND 30,870,000",9.5,2.1 km from centre,Yes,No,No
Nhat Ha Lavish Hotel,"VND 15,955,560",6.5,400 m from centre,Yes,No,Yes
"Modern, Cozy & Fully Equipped 2BR Apt in D4, 5m to D1","VND 10,754,703",8.7,1.3 km from centre,Yes,Yes,No
GRAD Thanh Hong Hotel,"VND 3,831,694",8.0,5.5 km from centre,Yes,Yes,No
Express by M Village Võ Văn Kiệt,"VND 9,215,700",8.7,1.5 km from centre,Yes,No,No
Khách Sạn Huỳnh Anh,"VND 3,150,000",8.0,10.3 km from centre,Yes,No,No
Góc Hải Phòng Drinks & Homestay Q4,"VND 4,050,000",9.5,1.9 km from centre,Yes,Yes,No
YourHomes - River Gate,"VND 12,474,000",8.8,1 km from centre,Yes,No,No
Homestay BNB,"VND 3,487,500",7.7,3.4 km from centre,Yes,No,No
StayX Condotel,"VND 20,925,000",9.4,6.1 km from centre,Yes,No,No
Thiên Phước Hotel,"VND 4,501,350",6.8,4.7 km from centre,Yes,No,No
